"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 01:11:07 GMT 2023","Wed May 03 01:11:45 GMT 2023","38337","webkit","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"passed","Wed May 03 01:10:28 GMT 2023","Wed May 03 01:10:48 GMT 2023","19976","chromium","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 01:10:28 GMT 2023","Wed May 03 01:11:16 GMT 2023","47951","firefox","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"passed","Wed May 03 01:10:28 GMT 2023","Wed May 03 01:10:47 GMT 2023","19801","chromium","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"passed","Wed May 03 01:10:28 GMT 2023","Wed May 03 01:10:52 GMT 2023","24576","chromium","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 01:10:28 GMT 2023","Wed May 03 01:11:00 GMT 2023","32067","chromium","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"passed","Wed May 03 01:11:38 GMT 2023","Wed May 03 01:12:26 GMT 2023","48315","chromium","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 01:12:05 GMT 2023","Wed May 03 01:12:46 GMT 2023","41114","firefox","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 01:10:28 GMT 2023","Wed May 03 01:11:06 GMT 2023","38009","firefox","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 01:10:28 GMT 2023","Wed May 03 01:11:08 GMT 2023","40367","firefox","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 01:11:16 GMT 2023","Wed May 03 01:11:44 GMT 2023","28734","webkit","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 01:10:54 GMT 2023","Wed May 03 01:11:35 GMT 2023","40651","firefox","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"passed","Wed May 03 01:11:26 GMT 2023","Wed May 03 01:12:15 GMT 2023","48702","webkit","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 01:11:00 GMT 2023","Wed May 03 01:11:40 GMT 2023","40881","webkit","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 01:11:17 GMT 2023","Wed May 03 01:11:46 GMT 2023","28503","webkit","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
