"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 03:13:02 GMT 2023","Wed May 03 03:13:27 GMT 2023","24767","chromium","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"passed","Wed May 03 03:13:02 GMT 2023","Wed May 03 03:13:33 GMT 2023","31413","chromium","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 03:13:55 GMT 2023","Wed May 03 03:14:25 GMT 2023","29930","webkit","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 03:13:02 GMT 2023","Wed May 03 03:13:44 GMT 2023","41809","firefox","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 03:13:55 GMT 2023","Wed May 03 03:14:26 GMT 2023","30754","webkit","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"passed","Wed May 03 03:14:04 GMT 2023","Wed May 03 03:14:59 GMT 2023","55030","webkit","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 03:13:35 GMT 2023","Wed May 03 03:14:14 GMT 2023","38574","firefox","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"passed","Wed May 03 03:13:02 GMT 2023","Wed May 03 03:13:39 GMT 2023","36870","chromium","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"passed","Wed May 03 03:13:02 GMT 2023","Wed May 03 03:13:43 GMT 2023","40825","firefox","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 03:14:16 GMT 2023","Wed May 03 03:15:14 GMT 2023","57556","chromium","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 03:13:40 GMT 2023","Wed May 03 03:14:26 GMT 2023","45966","webkit","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 03:13:46 GMT 2023","Wed May 03 03:14:27 GMT 2023","41100","webkit","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"passed","Wed May 03 03:13:02 GMT 2023","Wed May 03 03:13:27 GMT 2023","24925","chromium","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 03:14:48 GMT 2023","Wed May 03 03:15:35 GMT 2023","46843","firefox","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 03:13:02 GMT 2023","Wed May 03 03:13:54 GMT 2023","51146","firefox","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
