"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 03:05:43 GMT 2023","Wed May 03 03:06:15 GMT 2023","32427","webkit","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 03:05:51 GMT 2023","Wed May 03 03:06:52 GMT 2023","61341","webkit","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 03:04:57 GMT 2023","Wed May 03 03:05:28 GMT 2023","31818","firefox","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 03:04:56 GMT 2023","Wed May 03 03:05:37 GMT 2023","40465","firefox","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 03:04:56 GMT 2023","Wed May 03 03:05:25 GMT 2023","28325","chromium","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"passed","Wed May 03 03:05:47 GMT 2023","Wed May 03 03:06:18 GMT 2023","30746","webkit","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"passed","Wed May 03 03:04:56 GMT 2023","Wed May 03 03:05:41 GMT 2023","44776","firefox","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"passed","Wed May 03 03:05:32 GMT 2023","Wed May 03 03:06:10 GMT 2023","37539","firefox","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"passed","Wed May 03 03:04:56 GMT 2023","Wed May 03 03:05:30 GMT 2023","33486","chromium","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 03:05:40 GMT 2023","Wed May 03 03:06:22 GMT 2023","41032","webkit","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 03:06:45 GMT 2023","Wed May 03 03:07:28 GMT 2023","43163","firefox","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 03:04:56 GMT 2023","Wed May 03 03:05:37 GMT 2023","40324","chromium","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"passed","Wed May 03 03:05:37 GMT 2023","Wed May 03 03:06:23 GMT 2023","45963","webkit","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"passed","Wed May 03 03:06:06 GMT 2023","Wed May 03 03:07:06 GMT 2023","59463","chromium","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 03:04:56 GMT 2023","Wed May 03 03:05:26 GMT 2023","29270","chromium","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
