"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 00:55:22 GMT 2023","Wed May 03 00:56:00 GMT 2023","37925","webkit","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"failed","Wed May 03 00:55:45 GMT 2023","Wed May 03 00:57:03 GMT 2023","77649","firefox","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"broken","Wed May 03 00:56:19 GMT 2023","Wed May 03 00:57:25 GMT 2023","65605","webkit","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"passed","Wed May 03 00:54:54 GMT 2023","Wed May 03 00:55:13 GMT 2023","18677","chromium","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"broken","Wed May 03 00:57:03 GMT 2023","Wed May 03 00:58:07 GMT 2023","63356","webkit","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"failed","Wed May 03 00:55:28 GMT 2023","Wed May 03 00:56:29 GMT 2023","61137","chromium","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"broken","Wed May 03 00:56:03 GMT 2023","Wed May 03 00:57:18 GMT 2023","75187","chromium","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 00:54:54 GMT 2023","Wed May 03 00:55:13 GMT 2023","18741","chromium","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 00:54:54 GMT 2023","Wed May 03 00:55:26 GMT 2023","31855","firefox","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 00:56:08 GMT 2023","Wed May 03 00:56:37 GMT 2023","29278","webkit","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"failed","Wed May 03 00:56:38 GMT 2023","Wed May 03 00:57:38 GMT 2023","60424","firefox","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 00:55:37 GMT 2023","Wed May 03 00:56:08 GMT 2023","31054","webkit","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 00:55:19 GMT 2023","Wed May 03 00:55:56 GMT 2023","36735","firefox","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"passed","Wed May 03 00:54:54 GMT 2023","Wed May 03 00:55:29 GMT 2023","34649","firefox","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 00:54:54 GMT 2023","Wed May 03 00:55:15 GMT 2023","21045","chromium","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
